"","WT","S","E","I","R","M","N","g.avg"
"1",0,199,1,0,0,0,200,0.0049951975952392
"2",8.85843059752907,199,0,1,0,0,200,0.0049951975952392
"3",9.9785760812068,199,0,0,0,1,199,0.00499211267797128
"4",10.4005158150926,198,1,0,0,1,199,0.00499211267797128
"5",11.6983748592746,197,2,0,0,1,199,0.00499211267797128
"6",13.4101344954756,196,3,0,0,1,199,0.00499211267797128
"7",13.9610098889563,196,2,1,0,1,199,0.00499211267797128
"8",15.0528901173148,195,3,1,0,1,199,0.00499211267797128
"9",15.4453165711059,194,4,1,0,1,199,0.00499211267797128
"10",16.2142119605797,194,3,2,0,1,199,0.00499211267797128
"11",16.4737739941309,194,2,3,0,1,199,0.00499211267797128
"12",16.6513839735479,194,1,4,0,1,199,0.00499211267797128
"13",17.0344582747325,193,2,4,0,1,199,0.00499211267797128
"14",17.0727916073799,192,3,4,0,1,199,0.00499211267797128
"15",17.1059303068421,192,3,3,0,2,198,0.00499496953984114
"16",17.1462786525059,192,3,2,0,3,197,0.00499819045761344
"17",17.167623668373,191,4,2,0,3,197,0.00499819045761344
"18",17.1979362959035,190,5,2,0,3,197,0.00499819045761344
"19",17.5863282549566,190,5,1,0,4,196,0.00499367000800835
"20",17.6109041188512,190,5,0,0,5,195,0.00498868025225817
"21",17.6356496045858,189,6,0,0,5,195,0.00498868025225817
"22",17.9533734652065,188,7,0,0,5,195,0.00498868025225817
"23",17.9880647238439,187,8,0,0,5,195,0.00498868025225817
"24",18.0659519129953,186,9,0,0,5,195,0.00498868025225817
"25",18.2883006863702,185,10,0,0,5,195,0.00498868025225817
"26",18.3306587355355,184,11,0,0,5,195,0.00498868025225817
"27",18.3414872307098,183,12,0,0,5,195,0.00498868025225817
"28",18.4598162220041,182,13,0,0,5,195,0.00498868025225817
"29",18.6537798154142,181,14,0,0,5,195,0.00498868025225817
"30",18.7028304412419,180,15,0,0,5,195,0.00498868025225817
"31",18.8926374365934,179,16,0,0,5,195,0.00498868025225817
"32",19.0398576428067,178,17,0,0,5,195,0.00498868025225817
"33",19.0936006500399,177,18,0,0,5,195,0.00498868025225817
"34",19.1430992465845,176,19,0,0,5,195,0.00498868025225817
"35",19.1940889039414,176,18,1,0,5,195,0.00498868025225817
"36",19.260473506416,175,19,1,0,5,195,0.00498868025225817
"37",19.4140251026567,174,20,1,0,5,195,0.00498868025225817
"38",19.8241951105675,174,19,2,0,5,195,0.00498868025225817
"39",20.1359566524426,174,18,3,0,5,195,0.00498868025225817
"40",20.2191956380271,173,19,3,0,5,195,0.00498868025225817
"41",20.2195618933365,173,19,2,0,6,194,0.00498820834747744
"42",20.4463480406945,172,20,2,0,6,194,0.00498820834747744
"43",20.4543228284824,171,21,2,0,6,194,0.00498820834747744
"44",20.6244293308337,171,20,3,0,6,194,0.00498820834747744
"45",20.8470537873349,171,19,4,0,6,194,0.00498820834747744
"46",20.9666594336304,171,18,5,0,6,194,0.00498820834747744
"47",21.1421943067778,171,18,4,0,7,193,0.00498728385770509
"48",21.1837704459817,171,17,5,0,7,193,0.00498728385770509
"49",21.2433683323341,171,16,6,0,7,193,0.00498728385770509
"50",21.354355750689,170,17,6,0,7,193,0.00498728385770509
"51",21.3659423229478,170,16,7,0,7,193,0.00498728385770509
"52",21.3880983651991,170,15,8,0,7,193,0.00498728385770509
"53",21.4603238427782,170,15,7,0,8,192,0.00498998630934394
"54",21.4799639150362,170,14,8,0,8,192,0.00498998630934394
"55",21.4843822496546,170,13,8,0,8,191,0.00498851584008402
"56",21.582270414869,169,14,8,0,8,191,0.00498851584008402
"57",21.5824987614688,169,14,7,0,9,190,0.00498542661082533
"58",21.6388450470307,170,14,7,0,9,191,0.00499176772670372
"59",21.6458357348953,170,13,8,0,9,191,0.00499176772670372
"60",21.6993718110159,170,12,9,0,9,191,0.00499176772670372
"61",21.7694195679736,170,11,10,0,9,191,0.00499176772670372
"62",21.7800489630032,170,10,11,0,9,191,0.00499176772670372
"63",21.8101515757742,170,10,10,0,10,190,0.00499482411233873
"64",21.8158080418569,169,11,10,0,10,190,0.00499482411233873
"65",21.8529604030149,168,12,10,0,10,190,0.00499482411233873
"66",21.8595358724076,167,13,10,0,10,190,0.00499482411233873
"67",21.9131624324054,166,14,10,0,10,190,0.00499482411233873
"68",21.9781664243315,166,14,9,0,11,189,0.00499302154417541
"69",22.0564649657917,166,14,8,0,12,188,0.00499414745119558
"70",22.215339273475,166,13,9,0,12,188,0.00499414745119558
"71",22.2784236932013,165,14,9,0,12,188,0.00499414745119558
"72",22.4237380077518,164,15,9,0,12,188,0.00499414745119558
"73",22.4462131967332,163,16,9,0,12,188,0.00499414745119558
"74",22.4600604985862,163,15,10,0,12,188,0.00499414745119558
"75",22.4904685867829,162,16,10,0,12,188,0.00499414745119558
"76",22.5263553445276,161,17,10,0,12,188,0.00499414745119558
"77",22.5721958806217,161,17,9,0,13,187,0.00499578414412198
"78",22.5734118295599,160,18,9,0,13,187,0.00499578414412198
"79",22.6008164085862,160,17,10,0,13,187,0.00499578414412198
"80",22.6492569577131,160,16,11,0,13,187,0.00499578414412198
"81",22.6879203787208,160,16,10,0,14,186,0.0049984358484433
"82",22.7676174569006,159,17,10,0,14,186,0.0049984358484433
"83",22.8239438743751,159,16,11,0,14,186,0.0049984358484433
"84",22.8753605628734,159,16,10,0,15,185,0.00499434706662857
"85",22.9097791389828,159,16,9,0,16,184,0.00499497125891321
"86",22.9410758829162,158,17,9,0,16,184,0.00499497125891321
"87",23.0210163920186,157,18,9,0,16,184,0.00499497125891321
"88",23.0934579300296,157,18,8,0,17,183,0.00499920248644562
"89",23.1024988883522,156,19,8,0,17,183,0.00499920248644562
"90",23.1321771620031,156,19,7,0,18,182,0.00499663403788076
"91",23.1729577610848,156,18,8,0,18,182,0.00499663403788076
"92",23.197658799784,155,19,8,0,18,182,0.00499663403788076
"93",23.2282213476595,154,20,8,0,18,182,0.00499663403788076
"94",23.2841249042996,154,19,9,0,18,182,0.00499663403788076
"95",23.3496768820458,153,20,9,0,18,182,0.00499663403788076
"96",23.365425949432,152,21,9,0,18,182,0.00499663403788076
"97",23.4021105876032,151,22,9,0,18,182,0.00499663403788076
"98",23.4142705523872,151,21,10,0,18,182,0.00499663403788076
"99",23.4440667562418,150,22,10,0,18,182,0.00499663403788076
"100",23.4863274271213,149,23,10,0,18,182,0.00499663403788076
"101",23.6544677195558,149,22,11,0,18,182,0.00499663403788076
"102",23.7000586529015,148,23,11,0,18,182,0.00499663403788076
"103",23.7911404386554,148,23,10,0,19,181,0.00499975716036963
"104",23.7921976278634,147,24,10,0,19,181,0.00499975716036963
"105",23.8059111836722,147,23,11,0,19,181,0.00499975716036963
"106",23.8119230941518,146,24,11,0,19,181,0.00499975716036963
"107",23.8383426252998,145,25,11,0,19,181,0.00499975716036963
"108",23.8673495013366,145,24,12,0,19,181,0.00499975716036963
"109",23.9587286027783,144,25,12,0,19,181,0.00499975716036963
"110",23.9702640033342,143,26,12,0,19,181,0.00499975716036963
"111",24.0220851127175,143,26,11,0,20,180,0.00500219986395839
"112",24.0446449061789,142,27,11,0,20,180,0.00500219986395839
"113",24.0505435381916,142,27,10,0,21,179,0.0050021924633483
"114",24.0566324750999,141,28,10,0,21,179,0.0050021924633483
"115",24.091599092713,140,29,10,0,21,179,0.0050021924633483
"116",24.1043595795241,139,30,10,0,21,179,0.0050021924633483
"117",24.1583255101086,138,31,10,0,21,179,0.0050021924633483
"118",24.2414443272474,138,30,10,1,21,179,0.0050021924633483
"119",24.2732024746839,137,31,10,1,21,179,0.0050021924633483
"120",24.2836139153522,137,31,9,1,22,178,0.0050039950393475
"121",24.2965805007415,137,30,10,1,22,178,0.0050039950393475
"122",24.3811646688379,137,29,11,1,22,178,0.0050039950393475
"123",24.3893588146164,137,29,10,1,23,177,0.00500322609081476
"124",24.4811000857464,136,30,10,1,23,177,0.00500322609081476
"125",24.4861081122854,136,30,10,1,22,177,0.00500322609081476
"126",24.500002585193,136,30,9,1,23,176,0.00500177791082108
"127",24.5612188896606,136,30,8,1,24,175,0.00499950356822415
"128",24.5612977753669,135,31,8,1,24,175,0.00499950356822415
"129",24.597353592816,134,32,8,1,24,175,0.00499950356822415
"130",24.7452225233404,134,32,7,1,25,174,0.00499474672909638
"131",24.9392882979729,133,33,7,1,25,174,0.00499474672909638
"132",24.9460537030955,132,34,7,1,25,174,0.00499474672909638
"133",24.9620473401154,132,33,8,1,25,174,0.00499474672909638
"134",24.9716093762697,131,34,8,1,25,174,0.00499474672909638
"135",24.9737856525546,130,35,8,1,25,174,0.00499474672909638
"136",25.008962844883,130,34,9,1,25,174,0.00499474672909638
"137",25.0814481895937,129,35,9,1,25,174,0.00499474672909638
"138",25.1167003321643,128,36,9,1,25,174,0.00499474672909638
"139",25.1239928398721,127,37,9,1,25,174,0.00499474672909638
"140",25.179216275989,127,36,10,1,25,174,0.00499474672909638
