"","WT","S","E","I","R","M","N","g.avg"
"1",0,25,1,0,0,0,26,0.194500539159642
"2",15.6579844362633,25,0,1,0,0,26,0.194500539159642
"3",18.622413846387,25,0,0,0,1,25,0.197386313586726
"4",86.6669067078698,26,0,0,0,1,26,0.197866758887254
"5",124.796144697561,25,1,0,0,1,26,0.197866758887254
"6",128.133717017676,25,0,0,1,1,26,0.197866758887254
"7",130.019220993593,24,0,0,1,1,25,0.197386313586726
"8",136.806623698056,25,0,0,1,1,26,0.199626979013412
"9",142.920039071465,24,1,0,1,1,26,0.199626979013412
"10",149.06379112735,24,0,1,1,1,26,0.199626979013412
"11",153.7963672016,24,0,0,1,2,25,0.201389856312096
"12",153.804202587186,25,0,0,1,2,26,0.194932883186524
"13",162.74351006456,24,1,0,1,2,26,0.194932883186524
"14",166.264196935021,24,0,0,2,2,26,0.194932883186524
"15",184.854145394205,23,1,0,2,2,26,0.194932883186524
"16",186.951424955879,23,0,0,3,2,26,0.194932883186524
"17",192.514679287967,22,1,0,3,2,26,0.194932883186524
"18",192.774830124265,22,0,1,3,2,26,0.194932883186524
"19",193.831276380505,22,0,0,3,3,25,0.191195431849529
"20",198.047155036117,21,1,0,3,3,25,0.191195431849529
"21",199.511829502399,21,0,1,3,3,25,0.191195431849529
"22",200.061973227727,21,0,0,3,4,24,0.192605222641268
"23",201.819224695341,20,1,0,3,4,24,0.192605222641268
"24",204.636387944818,19,2,0,3,4,24,0.192605222641268
"25",205.701101285727,19,1,0,4,4,24,0.192605222641268
"26",208.390386964641,19,0,0,5,4,24,0.192605222641268
"27",209.045394695363,20,0,0,5,4,25,0.197138626389362
"28",226.739105621723,19,1,0,5,4,25,0.197138626389362
"29",227.105300124256,20,1,0,5,4,26,0.199388818246716
"30",234.766886161081,20,0,0,6,4,26,0.199388818246716
"31",240.790691251632,19,1,0,6,4,26,0.199388818246716
"32",243.100866634055,18,1,0,6,4,25,0.207364370976585
"33",243.867056062229,17,2,0,6,4,25,0.207364370976585
"34",244.105730031917,17,1,0,7,4,25,0.207364370976585
"35",248.0611799782,17,0,1,7,4,25,0.207364370976585
"36",248.875784610241,16,1,1,7,4,25,0.207364370976585
"37",250.287047252637,16,1,0,7,5,24,0.205352735822253
"38",250.435983733449,16,0,0,8,5,24,0.205352735822253
"39",260.070090572026,15,1,0,8,5,24,0.205352735822253
"40",261.409131344823,14,2,0,8,5,24,0.205352735822253
"41",261.501401919243,13,3,0,8,5,24,0.205352735822253
"42",261.955508591952,13,2,0,9,5,24,0.205352735822253
"43",264.062226328099,13,1,0,10,5,24,0.205352735822253
"44",266.243548568884,13,0,1,10,5,24,0.205352735822253
"45",267.694363511432,13,0,1,10,4,24,0.205352735822253
