"","Nt","min.N","g","g.1","max.g","evolve","survive","sigma"
"1",0,0,0,0,0,NA,0,0
"2",0,0,0,0,0,NA,0,0
"3",0,0,0,0,0,NA,0,0
"4",0,0,0,0,0,NA,0,0
"5",0,0,0,0,0,NA,0,0
"6",0,0,0,0,0,NA,0,0
"7",0,0,0,0,0,NA,0,0
"8",0,0,0,0,0,NA,0,0
"9",0,0,0,0,0,NA,0,0
"10",0,0,0,0,0,NA,0,0
"11",0,0,0,0.000269428804460812,0.000276436844755066,0.0140160805885075,0,5e-04
"12",0,0,0,0.000178876227597711,0.000195655665637364,0.0335588760793062,0,5e-04
"13",0,0,0,0.000185010533276661,0.000457891292126125,0.545761517698928,0,5e-04
"14",199,1,0,0.000220496143834703,0.000860071411660871,1.27915053565234,1,5e-04
"15",0,0,0,0.000176558102476833,0.000496471551694759,0.639826898435851,0,5e-04
"16",0,0,0,0.000211425732519911,0.000503653960739722,0.584456456439621,0,5e-04
"17",0,0,0,0.000203765211130136,0.000244220749809445,0.0809110773586181,0,5e-04
"18",0,0,0,0.000216339752373853,0.000387040287657925,0.341401070568142,0,5e-04
"19",0,0,0,0.000194339747408329,0.00066431441959146,0.93994934436626,0,5e-04
"20",0,0,0,0.000250021443042084,0.000508328583856085,0.516614281628,0,5e-04
"21",200,1,0,0.00199933302449449,0.00551749595684889,0.70363258647088,1,0.005
"22",0,0,0,0.00187209559023901,0.00377811012645805,0.381202907243809,0,0.005
"23",199,1,0,0.00177966933058228,0.00318532147611025,0.281130429105595,1,0.005
"24",0,0,0,0.00185086657429344,0.00210364748347314,0.0505561818359413,0,0.005
"25",199,1,0,0.00192416966938678,0.0053799583792619,0.691157741975025,1,0.005
"26",199,1,0,0.00258916680611116,0.00858097864597028,1.19836236797182,1,0.005
"27",200,1,0,0.00187893511867232,0.00836166565086166,1.29654610643787,1,0.005
"28",199,1,0,0.00198708798700148,0.00670402574947646,0.943387552494997,1,0.005
"29",200,1,0,0.00187367573999837,0.0164229216160955,2.90984917521942,1,0.005
"30",199,1,0,0.00198335585584424,0.00890863620054119,1.38505606893939,1,0.005
"31",0,0,0,0.00451921555848636,0.00531151881456353,0.0792303256077173,0,0.01
"32",200,2,0,0.00394368599472917,0.0237996534061656,1.98559674114365,1,0.01
"33",199,3,0,0.0038420976009007,0.0157127781838496,1.18706805829489,1,0.01
"34",200,1,0,0.00364651640059979,0.0161580144542134,1.25114980536136,1,0.01
"35",199,2,0,0.0041448574785295,0.0126780677047509,0.853321022622143,1,0.01
"36",198,1,0,0.00403992191525634,0.0220023873695588,1.79624654543025,1,0.01
"37",200,4,0,0.00296461590444886,0.0150819774609188,1.21173615564699,1,0.01
"38",199,2,0,0.00375435666572256,0.00900637625577064,0.525201959004808,1,0.01
"39",199,1,0,0.0038838270587173,0.00794333833155191,0.40595112728346,1,0.01
"40",199,2,0,0.00383628022253062,0.00993487930378965,0.609859908125904,1,0.01
"41",199,1,0,0.00589058291268363,0.0422154660948333,2.42165887880998,1,0.015
"42",199,1,0,0.00561718545886606,0.0147785414631423,0.610757066951748,1,0.015
"43",199,1,0,0.00699385834502437,0.025935005448875,1.26274314025671,1,0.015
"44",199,3,0,0.00675106045866581,0.0260224029555991,1.28475616646222,1,0.015
"45",199,1,0,0.00588455551498766,0.0211710775406032,1.01910146837437,1,0.015
"46",0,0,0,0.0056046423384707,0.00577548061332174,0.0113892183234021,0,0.015
"47",198,2,0,0.00572285592189755,0.0177821537666412,0.803953189649578,1,0.015
"48",200,2,0,0.00564692357775264,0.0273176259701089,1.44471349282375,1,0.015
"49",199,1,0,0.0059048311742009,0.0222765410616822,1.09144732583209,1,0.015
"50",199,2,0,0.00609831659502083,0.0160653246779321,0.664467205527421,1,0.015
"51",0,0,0,0.00750639526219341,0.0112246598968842,0.185913231734541,0,0.02
"52",199,2,0,0.0070026800187525,0.0360201920039726,1.450875599261,1,0.02
"53",198,3,0,0.00862754015872804,0.0138154672156865,0.259396352847922,1,0.02
"54",199,3,0,0.00957330128625277,0.0278420280309203,0.913436337233374,1,0.02
"55",0,0,0,0.00737083390612112,0.0146921605062692,0.366066330007404,0,0.02
"56",199,4,0,0.00812885355814366,0.0281330239638799,1.00020852028681,1,0.02
"57",199,2,0,0.00813710205315017,0.0135363960480718,0.269964699746082,1,0.02
"58",199,7,0,0.0077317135721691,0.0249616534727686,0.861496995029976,1,0.02
"59",198,4,0,0.00784081317157864,0.0302880242334893,1.12236055309553,1,0.02
"60",199,2,0,0.00775828236592396,0.0299127214388058,1.10772195364409,1,0.02
"61",199,5,0,0.0100808423121523,0.0363269069123289,1.04984258400706,1,0.025
"62",199,2,0,0.0093782805934855,0.0272209884532911,0.713708314392224,1,0.025
"63",199,6,0,0.010286962685466,0.0405527425923306,1.21063119627458,1,0.025
"64",198,2,0,0.00992683664246989,0.039268588701689,1.17367008236877,1,0.025
"65",199,6,0,0.00965148954607891,0.0333766410225092,0.949006059057213,1,0.025
"66",200,2,0,0.0099051666262209,0.0190430203849936,0.365514150350907,1,0.025
"67",199,3,0,0.0101465789808865,0.0360515681837704,1.03619956811535,1,0.025
"68",200,6,0,0.0114673138469015,0.0282843048016881,0.672679638191465,1,0.025
"69",199,5,0,0.00916654227239885,0.0277084105691517,0.741674731870112,1,0.025
"70",199,4,0,0.0104506707721262,0.0542092381074091,1.75034269341132,1,0.025
"71",200,1,0,0.0102305467915198,0.0414844150217726,1.04179560767509,1,0.03
"72",199,3,0,0.0106814751830971,0.0507089693870959,1.33424980679996,1,0.03
"73",199,5,0,0.0125439852207632,0.0889578866203075,2.54713004665148,1,0.03
"74",200,5,0,0.0142366348776194,0.021665950997637,0.247643870667252,1,0.03
"75",199,4,0,0.0119389279498567,0.0375336441646533,0.853157207159885,1,0.03
"76",199,7,0,0.012410513665476,0.0376559534848475,0.841514660645715,1,0.03
"77",199,1,0,0.0126239590117854,0.0464261537341209,1.12673982407785,1,0.03
"78",199,7,0,0.0136500510301647,0.0371539233978154,0.783462412255024,1,0.03
"79",199,6,0,0.0105557548544672,0.0524539979200831,1.3966081021872,1,0.03
"80",199,6,0,0.0133374928159765,0.0516056218109818,1.27560429983351,1,0.03
"81",199,3,0,0.0132593031226262,0.0386298279526937,0.724872138001928,1,0.035
"82",199,8,0,0.0116850047007935,0.0273416841367646,0.447333698170604,1,0.035
"83",199,1,0,0.015366345499112,0.0263936566615673,0.315066033213007,1,0.035
"84",199,2,0,0.0112411280087135,0.0576917385197814,1.32716030031623,1,0.035
"85",199,6,0,0.0154206213933,0.0579957321521311,1.2164317359666,1,0.035
"86",199,11,0,0.014460799751443,0.0501188547101315,1.01880157024824,1,0.035
"87",199,3,0,0.0129060637812736,0.0623287569278212,1.41207694704422,1,0.035
"88",199,2,0,0.0144917338377473,0.0447466031757345,0.864424838228206,1,0.035
"89",200,4,0,0.0152954061676241,0.0483409718905982,0.944159020656404,1,0.035
"90",198,3,0,0.0146937207898375,0.0785621902616475,1.82481341348029,1,0.035
"91",198,3,0,0.0139438294743102,0.0584550571960015,1.11278069304228,1,0.04
"92",200,8,0,0.014527610157026,0.0574969414274819,1.0742332817614,1,0.04
"93",199,4,0,0.0156928529526513,0.0700193365792702,1.35816209066547,1,0.04
"94",199,4,0,0.0157677064789548,0.0866604390320316,1.77231831382692,1,0.04
"95",200,3,0,0.0152204358848694,0.0493935204570361,0.854327114304167,1,0.04
"96",197,5,0,0.0150528593442015,0.0475197724289807,0.811672827119479,1,0.04
"97",199,5,0,0.0150556826448685,0.095509064321146,2.01133454190694,1,0.04
"98",199,3,0,0.0138087660291256,0.0589546671434289,1.12864752785758,1,0.04
"99",199,6,0,0.0139408402327007,0.0581827117414487,1.1060467877187,1,0.04
"100",200,6,0,0.0170614437422602,0.0467818754278593,0.743010792139977,1,0.04
"101",200,2,0,0.0158484652318692,0.0679311606915843,1.15739323243811,1,0.045
"102",198,6,0,0.0176052064590979,0.052577380954248,0.777159433225559,1,0.045
"103",199,4,0,0.0194108766327111,0.0683837472359579,1.08828601340548,1,0.045
"104",199,6,0,0.01401943564171,0.0427074442837751,0.637511303157002,1,0.045
"105",199,4,0,0.0171516552585544,0.0630767374331989,1.02055738165877,1,0.045
"106",199,13,0,0.0188483771298844,0.0851380073617755,1.47310289404202,1,0.045
"107",200,7,0,0.0165906799385618,0.0564412709809756,0.885568689831418,1,0.045
"108",199,7,0,0.0194466474825901,0.0911000948890018,1.59229883125359,1,0.045
"109",199,11,0,0.0212815120975271,0.0605394363101182,0.872398315835356,1,0.045
"110",200,4,0,0.016272624601669,0.0738004582910065,1.2783963042075,1,0.045
"111",199,1,0,0.0183749234657293,0.102834565938193,1.68919284944927,1,0.05
"112",199,5,0,0.0213261731065289,0.0657458254364355,0.888393046598132,1,0.05
"113",199,8,0,0.0173357945272152,0.0637894110272113,0.929072329999922,1,0.05
"114",200,7,0,0.0199323765781685,0.0799798379041733,1.20094922652009,1,0.05
"115",199,10,0,0.0179053664462834,0.0621403051835965,0.884698774746262,1,0.05
