"","g.start","sigma","r","mu","Bc","alpha","K","rho","lambda","Br","phi","B","period"
"1",0.00444209175184369,0.147402201825753,0.0707848116289824,0.000339753826148808,0.425145368976519,0.400859010405838,284,0.348394459811971,0.0146494897222146,0.0810338960308582,0.0144725439045578,13.1440221564844,0.188053292771801
"2",0.115441597020254,0.195573109062389,0.00161692625842988,0.000307611551368609,0.0663565010298044,0.368625946866814,96,0.730551488464698,0.0164863813202828,0.0401284380396828,0.00254506313242018,71.0786606185138,0.143764077725355
"3",0.107317888922989,0.113999086990953,0.0903800114290789,0.000182259731693193,0.260124940960668,0.765153847809415,65,0.661504704738036,0.0182685266761109,0.0349023949867114,0.000524568622931838,45.958560379222,0.207250343000051
"4",0.070797670353204,0.0179304711055011,0.0681775271892548,0.000133760095341131,0.346297580236569,0.556955966399983,287,0.957323660841212,0.00253568595275283,0.119385802168399,0.0153536562854424,26.8612582003698,0.275071110054851
"5",0.0761501161381602,0.0569774222094566,0.0687877575866878,0.000181950781261548,0.262814782746136,0.928752517385874,352,0.332792522152886,0.0199700092105195,0.075426654079929,0.00850478951819241,93.4329187264666,0.107590948080178
"6",0.0473745614755899,0.0017793030012399,0.0580217052716762,0.000563171120360494,0.151829876890406,0.75868570827879,3,0.602205757517368,0.0150383965391666,0.0982708964776248,0.00247162460815161,45.8177837310359,0.324278006898239
"7",0.0337787959724665,0.118229653593153,0.0672470906749368,0.000792901755077764,0.400337174837477,0.527047309209593,187,0.648276587948203,0.00409028404392302,0.0533059565396979,0.0161407662043348,39.5174397854134,0.222503449309152
"8",0.0405684773810208,0.162467927625403,0.00949569109361619,0.000861991479294375,0.269173095538281,0.509137319691945,430,0.134208468720317,0.0128298784838989,0.101474762479775,0.00972839241847396,87.5055880751461,0.248330555350985
"9",0.0428490115329623,0.129396053869277,0.0943529487820342,0.000538099207682535,0.467308927513659,0.289315473637544,463,0.190965215908363,0.00474248021841049,0.11152900618501,0.00519804908894002,42.6240134984255,0.180648794232402
"10",0.193399080401287,0.160178307630122,0.0249329274753109,0.000690506715327501,0.384080652566627,0.704771051125135,299,0.27190098981373,0.00104791779071093,0.0256698482483625,0.004838808006607,52.3026880808175,0.161404937871266
"11",0.121086625475436,0.193427931843326,0.0727178097702563,0.000642422913340852,0.484842836926691,0.703059755149297,262,0.319017470348626,0.0114295191969723,0.0973558320943266,0.0144780790247023,6.74147121608257,0.180830221916549
"12",0.134463809477165,0.0522051442414522,0.0739726532017812,0.000394621795043349,0.46508150100708,0.433836321288254,297,0.831088695442304,0.0101841936213896,0.0488672010647133,0.00985511818900704,61.7701545823365,0.178070636270568
"13",0.0760305754840374,0.151742857834324,0.0193927259650081,0.000686982705025002,0.320343825919554,0.656127565773204,435,0.570578601909801,0.0102682416373864,0.118519844585098,0.0129925139760599,4.43038314115256,0.195671169531997
"14",0.0119388047140092,0.0435824557673186,0.0397312269313261,0.000441343380603939,0.512915258132853,0.260514735011384,32,0.0363323451019824,0.0104058165941387,0.113176435329951,0.0048549580713734,16.0807624226436,0.313296484921593
"15",0.0559271495323628,0.0885330527089536,0.0391710465075448,0.000717817708151415,0.351667408668436,0.369944328558631,176,0.117447601864114,0.0168867931887507,0.0511249805614352,0.00490617323666811,93.9638049108908,0.165595123004168
"16",0.167862528050318,0.0433193462900817,0.0820876975078136,0.000729963086079806,0.0733418015995994,0.60990394075634,443,0.926536280894652,0.00907806416973472,0.0436050320556387,0.0168426244659349,5.58640784583986,0.301762433031108
"17",0.0900995928328484,0.0602229213342071,0.0504495908506215,0.00023764688288793,0.237487506540492,0.691679308190942,311,0.500383078120649,0.0131450360175222,0.0792255475698039,0.00137277799658477,87.7628541085869,0.293051485933829
"18",0.0134314394090325,0.189597557252273,0.00239267717115581,0.000405585644999519,0.474978750874288,0.894326225679833,344,0.526069968705997,0.00578999950084835,0.0629019518429413,0.0004310596967116,51.43883517012,0.271489762209822
"19",0.0795005213003606,0.0533650995232165,0.0836881899507716,0.000398553843842819,0.341304631042294,0.373940832389053,459,0.0820450666360557,0.0193553648609668,0.10458052368369,0.0192116834176704,81.2005722196773,0.300883993527386
"20",0.182610357552767,0.0634348043240607,0.02157122194767,0.000626877103932202,0.453978402842768,0.574108052183874,145,0.821223173756152,0.0197349718026817,0.0732619798090309,0.0173536621918902,49.175922293216,0.321708720845636
"21",0.0142214491032064,0.167091703694314,0.00229852015618235,0.000706263455562294,0.401647244533524,0.358448121231049,8,0.755627481034026,0.00713051292579621,0.035052553336136,0.0186807601712644,92.4142639618367,0.138054821793921
"22",0.0445614682976156,0.0837637128774077,0.0504640319850296,0.000368792929919437,0.302909439965151,0.681214875250589,204,0.569191506365314,0.000135819222778082,0.0810831513535231,0.00965806073974818,24.5336424093693,0.132369811581448
"23",0.178179118875414,0.109639950515702,0.0391724925953895,0.000670690065715462,0.432782376487739,0.517341621336527,349,0.324183003976941,0.0108505198918283,0.0718456101417541,0.00507518500555307,59.9336134502664,0.29674945773324
"24",0.117517729708925,0.076322172395885,0.00812098651658744,0.000350274562137201,0.265310432831757,0.489119000034407,316,0.641244853148237,0.00179113047197461,0.0254484205786139,0.00895207821391523,85.4546393966302,0.323378796763718
"25",0.0678333675954491,0.0297383772209287,0.0920900199329481,1.37784143444151e-05,0.361832970124669,0.977064971521031,97,0.180428681429476,0.0107614498771727,0.0472670106263831,0.00857991956174374,12.7761561190709,0.12871483650757
"26",0.154406097019091,0.0271738360170275,0.0917202786076814,0.000724731654161587,0.0699602277716622,0.606699370837305,184,0.788737325463444,0.0146608230285347,0.0601181704597548,0.0178047430841252,54.2131011839956,0.29494095985312
"27",0.046362487366423,0.136806273786351,0.0309670615941286,0.000492485276423395,0.145442796475254,0.638285049702972,427,0.694871870568022,0.00103354492690414,0.0660737849585712,0.0117847107397392,48.5595293808728,0.247366575009655
"28",0.145596735458821,0.114131788443774,0.0436148211127147,0.000100738074630499,0.348774310853332,0.595160432043485,45,0.426327921682969,0.0152639868203551,0.021307470491156,0.00463633585255593,50.722390296869,0.237916935170069
"29",0.00104811093769968,0.0290394453797489,0.0559664994245395,0.000495240418240428,0.0833416371140629,0.962431739666499,341,0.67566827731207,0.00133283449336886,0.0831122061051428,0.0132947857724503,90.4481505742297,0.179948071700055
"30",0.00874598720110953,0.140254329424351,0.0721858299802989,0.000971588345011696,0.359542176662944,0.549273347773124,25,0.185046982951462,0.0111694140685722,0.0204497683141381,0.0183008760074154,70.3647515038028,0.149904239822645
"31",0.18887380133383,0.0174763281363994,0.0434269688557833,0.000962803022004664,0.453561580460519,0.345924681460019,220,0.0610670824535191,0.0139207400940359,0.100276249395683,0.014736912176013,39.4316684221849,0.288582696439698
"32",0.143006927566603,0.161547566996887,0.0364101469283924,0.000933697163593024,0.0709317252738401,0.530983527423814,119,0.198830066947266,0.000964554832316935,0.0961454629478976,0.0184103902103379,0.255102710798383,0.119697575434111
"33",0.196824968978763,0.091469536209479,0.0716146196937189,0.000464328565169126,0.339543964783661,0.736237496719696,67,0.998107894323766,0.00798099528532475,0.0889773897407576,0.012011379362084,68.7439447268844,0.329254059712403
"34",0.106181924557313,0.171247602719814,0.0431323402794078,0.000411421047290787,0.287251419923268,0.899631777603645,62,0.00574028887785971,0.00282616504933685,0.108513957196847,0.00235067861154675,28.2112608198076,0.325887627699412
"35",0.056253573903814,0.127840905310586,0.0232972274767235,0.000389273873297498,0.0987120836041868,0.494923651160207,253,0.409289524890482,0.0175810579070821,0.0689180932287127,0.00204016252886504,42.9994092322886,0.13843724016333
"36",0.163125355914235,0.193557761749253,0.0197481495328248,0.000940171202411875,0.17944106804207,0.632501635525841,370,0.138365688966587,0.00141067738179117,0.0491190707823262,0.00321470791473985,29.8448574496433,0.213793360474519
"37",0.0856002221815288,0.143807949963957,0.0321766218636185,0.00086695669288747,0.344184315134771,0.696005921054166,480,0.367006717482582,0.00486728802789003,0.0262053001718596,0.0169222865765914,51.028431719169,0.224359628560487
"38",0.128738537617028,0.107471989793703,0.0342742246808484,0.000978647454641759,0.141013550292701,0.959020821785089,309,0.686678594909608,0.00946471817325801,0.111107688378543,8.68006516247988e-05,29.9906058469787,0.200123537115287
"39",0.0858207104261965,0.132345594279468,0.0299033479066566,0.000864259550580755,0.27831122064963,0.649423292838037,360,0.971099778776988,0.00181947377044708,0.0835319670895115,0.00647834587842226,60.597865562886,0.213854884684552
"40",0.164155311416835,0.0107410573400557,0.00960753285326064,0.000622883856762201,0.219565907330252,0.321741672640201,339,0.0517107965424657,0.00340944470837712,0.027517321431078,0.0134616884682328,78.9098651846871,0.259175177714787
"41",0.107694268692285,0.121878049708903,0.0335593175143004,0.000464948441600427,0.0610913102980703,0.842878266412299,129,0.0793078851420432,0.0196528442623094,0.0859622556297109,0.0154970214096829,4.24114745110273,0.145239150822163
"42",0.115494348295033,0.0262919447384775,0.0343030716991052,1.69575144536793e-05,0.280014599510469,0.922975372697692,127,0.861256207805127,0.0016528740990907,0.10241554191336,0.0042945991596207,60.2445112075657,0.151344942464493
"43",0.157874276535586,0.148925358941779,0.0612759206211194,7.64970334712416e-05,0.256196774030104,0.739606766670477,392,0.171888376586139,0.00979225847870112,0.11107765336521,0.00822288898285478,25.8610727731138,0.120447889557108
"44",0.199507676064968,0.128742972528562,0.0836921418551356,0.000843735240865499,0.491965685924515,0.647674679406919,486,0.994796759216115,0.00915980805177242,0.0658114152075723,0.0126427465863526,39.0418498776853,0.161478930425365
"45",0.0757395750842988,0.123513734666631,0.0795630132546648,0.000177249108441174,0.318509827437811,0.758170999353752,185,0.891379606444389,0.00114591797348112,0.0424945544265211,0.0194971935916692,63.6729297460988,0.142258566373494
"46",0.0209438333753496,0.0847941724117845,0.0271248364355415,0.000519528476288542,0.29732820992358,0.697282004868612,269,0.624205210478976,0.0163695618510246,0.104004424861632,0.0041965601593256,35.6060152407736,0.300800206486601
