"","p.survive","g","max.evolve","g.1"
"X",0,0,NA,0
"X.1",0.068,0.0025,Inf,0.0025
"X.2",0.134,0.005,Inf,0.005
"X.3",0.172,0.0075,Inf,0.0075
"X.4",0.268,0.01,Inf,0.01
"X.5",0.284,0.0125,Inf,0.0125
"X.6",0.34,0.015,Inf,0.015
"X.7",0.45,0.0175,NA,0.0175
"X.8",0.468,0.02,Inf,0.02
"X.9",0.568,0.0225,Inf,0.0225
"X.10",0.58,0.025,Inf,0.025
"X.11",0.648,0.0275,Inf,0.0275
"X.12",0.662,0.03,Inf,0.03
"X.13",0.674,0.0325,NA,0.0325
"X.14",0.716,0.035,NA,0.035
"X.15",0.758,0.0375,NA,0.0375
"X.16",0.79,0.04,Inf,0.04
"X.17",0.804,0.0425,Inf,0.0425
"X.18",0.822,0.045,Inf,0.045
"X.19",0.824,0.0475,Inf,0.0475
"X.20",0.852,0.05,Inf,0.05
"X.21",0.874,0.0525,Inf,0.0525
"X.22",0.886,0.055,Inf,0.055
"X.23",0.912,0.0575,Inf,0.0575
"X.24",0.9,0.06,Inf,0.06
"X.25",0.918,0.0625,NA,0.0625
"X.26",0.938,0.065,NA,0.065
"X.27",0.938,0.0675,Inf,0.0675
"X.28",0.936,0.07,NA,0.07
"X.29",0.964,0.0725,NA,0.0725
"X.30",0.94,0.075,NA,0.075
"X.31",0.958,0.0775,Inf,0.0775
"X.32",0.976,0.08,Inf,0.08
"X.33",0.974,0.0825,Inf,0.0825
"X.34",0.97,0.085,Inf,0.085
"X.35",0.976,0.0875,Inf,0.0875
"X.36",0.974,0.09,Inf,0.09
"X.37",0.98,0.0925,Inf,0.0925
"X.38",0.978,0.095,Inf,0.095
"X.39",0.988,0.0975,Inf,0.0975
"X.40",0.982,0.1,Inf,0.1
"X.41",0.978,0.1025,Inf,0.1025
"X.42",0.988,0.105,Inf,0.105
"X.43",0.994,0.1075,Inf,0.1075
"X.44",0.988,0.11,Inf,0.11
"X.45",0.998,0.1125,Inf,0.1125
"X.46",0.994,0.115,Inf,0.115
"X.47",0.992,0.1175,Inf,0.1175
"X.48",0.988,0.12,Inf,0.12
"X.49",0.996,0.1225,Inf,0.1225
"X.50",0.988,0.125,NA,0.125
"X.51",0.992,0.1275,NA,0.1275
"X.52",0.996,0.13,NA,0.13
"X.53",0.994,0.1325,NA,0.1325
"X.54",0.998,0.135,NA,0.135
"X.55",1,0.1375,NA,0.1375
"X.56",0.994,0.14,NA,0.14
"X.57",1,0.1425,NA,0.1425
"X.58",1,0.145,NA,0.145
"X.59",0.996,0.1475,NA,0.1475
"X.60",1,0.15,NA,0.15
"X.61",0.998,0.1525,Inf,0.1525
"X.62",0.998,0.155,Inf,0.155
"X.63",1,0.1575,Inf,0.1575
"X.64",1,0.16,Inf,0.16
"X.65",1,0.1625,Inf,0.1625
"X.66",0.998,0.165,Inf,0.165
"X.67",1,0.1675,Inf,0.1675
"X.68",1,0.17,Inf,0.17
"X.69",1,0.1725,Inf,0.1725
"X.70",1,0.175,Inf,0.175
"X.71",1,0.1775,Inf,0.1775
"X.72",1,0.18,Inf,0.18
"X.73",1,0.1825,Inf,0.1825
"X.74",1,0.185,Inf,0.185
"X.75",1,0.1875,NA,0.1875
"X.76",1,0.19,Inf,0.19
"X.77",1,0.1925,Inf,0.1925
"X.78",1,0.195,Inf,0.195
"X.79",1,0.1975,Inf,0.1975
"X.80",1,0.2,Inf,0.2
