"","p.survive","g","max.evolve","g.1"
"X",0.106,0,NA,0
"X.1",0.492,0.005,NA,0.005
"X.2",0.716,0.01,NA,0.01
"X.3",0.81,0.015,NA,0.015
"X.4",0.936,0.02,NA,0.02
"X.5",0.948,0.025,NA,0.025
"X.6",0.956,0.03,NA,0.03
"X.7",0.986,0.035,NA,0.035
"X.8",0.986,0.04,NA,0.04
"X.9",0.994,0.045,NA,0.045
"X.10",0.99,0.05,NA,0.05
"X.11",1,0.055,NA,0.055
"X.12",1,0.06,NA,0.06
"X.13",1,0.065,NA,0.065
"X.14",1,0.07,NA,0.07
"X.15",1,0.075,NA,0.075
"X.16",1,0.08,NA,0.08
"X.17",1,0.085,NA,0.085
"X.18",1,0.09,NA,0.09
"X.19",1,0.095,NA,0.095
"X.20",1,0.1,NA,0.1
"X.21",1,0.105,NA,0.105
"X.22",1,0.11,NA,0.11
"X.23",1,0.115,NA,0.115
"X.24",1,0.12,NA,0.12
"X.25",1,0.125,NA,0.125
"X.26",1,0.13,NA,0.13
"X.27",1,0.135,NA,0.135
"X.28",1,0.14,NA,0.14
"X.29",1,0.145,NA,0.145
"X.30",1,0.15,NA,0.15
"X.31",1,0.155,NA,0.155
"X.32",1,0.16,NA,0.16
"X.33",1,0.165,NA,0.165
"X.34",1,0.17,NA,0.17
"X.35",1,0.175,NA,0.175
"X.36",1,0.18,NA,0.18
"X.37",1,0.185,NA,0.185
"X.38",1,0.19,NA,0.19
"X.39",1,0.195,NA,0.195
"X.40",1,0.2,NA,0.2
