"","p.survive","g","max.evolve","g.1"
"X",0,0,NA,0
"X.1",0.04,0,0.518220155967563,0.00100072726046416
"X.2",0.01,0,0.532813601080394,0.00199147699836961
"X.3",0.05,0,0.574755507098972,0.0030295202506862
"X.4",0.06,0,0.826391579485676,0.00398385904738696
"X.5",0.06,0,0.784993623481736,0.00499910169191852
"X.6",0.08,0,0.970393275326549,0.00600753095559554
"X.7",0.06,0,0.878762874915057,0.00704483939975395
"X.8",0.08,0,0.816205240261698,0.00790096734437115
"X.9",0.19,0,0.962141754894041,0.00904499916024501
"X.10",0.14,0,0.909899068699192,0.00984669278111653
"X.11",0.17,0,1.06101642943704,0.0107747813387495
"X.12",0.21,0,1.0076588317395,0.0119617552611014
"X.13",0.17,0,0.988771285365727,0.0128378637069006
"X.14",0.21,0,1.07215364454152,0.0137332153884146
"X.15",0.17,0,1.00378714274286,0.0149909340286557
"X.16",0.2,0,1.04287470613421,0.01615677720044
"X.17",0.15,0,1.14856837892563,0.0169434002351272
"X.18",0.21,0,1.07298658275009,0.0178212766241969
"X.19",0.28,0,1.08750243341312,0.0191236646806977
"X.20",0.24,0,1.02356925681259,0.0199349335783684
"X.21",0.26,0,1.0457863030452,0.0206505597542536
"X.22",0.23,0,1.10338552975296,0.0219085082003445
"X.23",0.26,0,1.0981124581301,0.022876384829921
"X.24",0.37,0,1.10138077738742,0.0240574214067178
"X.25",0.35,0,1.18224668662675,0.0247682706901633
"X.26",0.38,0,1.13962820444266,0.0256607351426694
"X.27",0.27,0,1.18390734693999,0.0264095855402674
"X.28",0.38,0,1.08524494129874,0.0277162192218376
"X.29",0.38,0,1.25800877371435,0.0291279079224278
"X.30",0.29,0,1.22740165578797,0.0296826684991618
"X.31",0.25,0,1.11386058903042,0.0308073257416068
"X.32",0.37,0,1.13546388878071,0.0319704942040317
"X.33",0.35,0,1.18371446864983,0.0326095777304102
"X.34",0.32,0,1.13459466787845,0.0341166932184531
"X.35",0.35,0,1.23448477459744,0.0347612728809675
"X.36",0.45,0,1.20192463202547,0.035919994949143
"X.37",0.46,0,1.13393019438342,0.0371934955544966
"X.38",0.47,0,1.16417187495535,0.0381989348051161
"X.39",0.38,0,1.16491580446537,0.0393723253763283
"X.40",0.4,0,1.16700983540087,0.0393097477505553
"X.41",0.54,0,1.23271227750609,0.0410685264025649
"X.42",0.54,0,1.20032231251632,0.0421058267778449
"X.43",0.38,0,1.20810296857273,0.0430112500177908
"X.44",0.41,0,1.20013355958293,0.0444775329466632
"X.45",0.47,0,1.18548809532711,0.0451202223410206
"X.46",0.45,0,1.22392211225535,0.04578302849413
"X.47",0.51,0,1.22001754780497,0.04672594841135
"X.48",0.36,0,1.07382259712827,0.0476010536939752
"X.49",0.53,0,1.1217400058687,0.0484676409662393
"X.50",0.41,0,1.17301389990587,0.0505006049064524
"X.51",0.48,0,1.10286468054641,0.0508814720335902
"X.52",0.46,0,1.20768758318774,0.0522736974428528
"X.53",0.48,0,1.20866204700405,0.0531705076192944
"X.54",0.53,0,1.24823086887727,0.0535946144444956
"X.55",0.6,0,1.12936160167299,0.0552260831253649
"X.56",0.47,0,1.23593095542455,0.0546471551311253
"X.57",0.59,0,1.10310749820355,0.056410761491907
"X.58",0.61,0,1.15863383058026,0.0573772625054874
"X.59",0.62,0,1.16816673238337,0.0585334461977142
"X.60",0.53,0,1.14495418916683,0.0592911156349245
"X.61",0.59,0,1.15580699785508,0.061345725210415
"X.62",0.58,0,1.1965496678252,0.061855381653674
"X.63",0.57,0,1.18060916337222,0.0618652808064669
"X.64",0.51,0,1.18253850370316,0.0641237936892228
"X.65",0.62,0,1.19976224224794,0.0654488027941924
"X.66",0.62,0,1.19854431787865,0.0652360181020606
"X.67",0.64,0,1.13881321890259,0.0669399928456691
"X.68",0.66,0,1.16346780986649,0.067744243458634
"X.69",0.66,0,1.16145783840318,0.0692610893741813
"X.70",0.58,0,1.15822896290416,0.0699814761635932
"X.71",0.65,0,1.18400126655464,0.0721240514049999
"X.72",0.64,0,1.13354322120615,0.0719792389419518
"X.73",0.75,0,1.14330762588114,0.0719268503946165
"X.74",0.67,0,1.15056549163106,0.074417032525861
"X.75",0.58,0,1.15218515130005,0.0748548795211438
"X.76",0.59,0,1.08515439093984,0.0756164136694779
"X.77",0.61,0,1.11941011818308,0.0761524907884388
"X.78",0.57,0,1.14204850575346,0.0783327092335136
"X.79",0.63,0,1.16670044399472,0.0785797514963789
"X.80",0.69,0,1.12079661257591,0.0796591625510493
