"","p.survive","g","max.evolve","g.1"
"X",0.07,0,0.708618757186565,0.0019975145510671
"X.1",0.095,0,0.883175543806045,0.00399641220361315
"X.2",0.16,0,1.01547809615829,0.005989007508506
"X.3",0.215,0,1.05088994208934,0.0079167152865569
"X.4",0.25,0,1.16531109808812,0.00990522178031322
"X.5",0.32,0,1.1270120708512,0.011980595611785
"X.6",0.365,0,1.24908800891225,0.0139046597292875
"X.7",0.465,0,1.15460111969458,0.0160079565567772
"X.8",0.435,0,1.20967997102091,0.0178436803467447
"X.9",0.515,0,1.1373027477699,0.0199215385757363
"X.10",0.515,0,1.15607973245545,0.0222163650769721
"X.11",0.55,0,1.17881402297708,0.0239069738833458
"X.12",0.575,0,1.19387835645939,0.0262568982348279
"X.13",0.615,0,1.17942421932883,0.0280721489917911
"X.14",0.595,0,1.22088686951348,0.0299992137270802
"X.15",0.645,0,1.16647282627299,0.0319793761367076
"X.16",0.73,0,1.1837477892831,0.0341087485995074
"X.17",0.725,0,1.21552449839622,0.0364562380806384
"X.18",0.785,0,1.20064248616648,0.0373323715421005
"X.19",0.745,0,1.1654574909423,0.0395124450252421
"X.20",0.85,0,1.21810075852247,0.0418947725072052
"X.21",0.85,0,1.14884800880169,0.0441498990655303
"X.22",0.855,0,1.14252601594248,0.0458769435495612
"X.23",0.86,0,1.15906257864803,0.0475447502506387
"X.24",0.835,0,1.12888985885117,0.0499572088971507
"X.25",0.88,0,1.11388137349202,0.0513071624515117
"X.26",0.87,0,1.15603158215857,0.0538823062597484
"X.27",0.88,0,1.18346205697637,0.0564932375571933
"X.28",0.885,0,1.13195772724896,0.0579405279710472
"X.29",0.915,0,1.14904897007044,0.0589272508099913
"X.30",0.89,0,1.1187303100186,0.0613295654840629
"X.31",0.925,0,1.17920355262684,0.0638820779954875
"X.32",0.915,0,1.10194109931269,0.0651025239874859
"X.33",0.935,0,1.16416800359189,0.0678578999226016
"X.34",0.955,0,1.1052967930999,0.0692620721445906
"X.35",0.94,0,1.10255501277524,0.0715812425565332
"X.36",0.935,0,1.0678257064525,0.0739758431775838
"X.37",0.975,0,1.09247044808015,0.0756737562910332
"X.38",0.95,0,1.09222780755558,0.0774428385429955
"X.39",0.95,0,1.06275212312694,0.0798992874655498
